"","species","eDNA","Beach Seine","Artsdatabanken"
"51","Syngnathus_acus",TRUE,TRUE,TRUE
"52","Syngnathus_rostellatus",TRUE,FALSE,TRUE
"53","Syngnathus_typhle",TRUE,TRUE,TRUE
"54","Taurulus_bubalis",TRUE,TRUE,TRUE
"55","Thunnus_alalunga",TRUE,FALSE,FALSE
"56","Trachinus_draco",TRUE,FALSE,TRUE
"57","Trisopterus_minutus",TRUE,FALSE,TRUE
"58","Zeugopterus_punctatus",TRUE,FALSE,TRUE
"59","Trachurus_trachurus",FALSE,TRUE,TRUE
"60","Zoarces_viviparus",FALSE,TRUE,TRUE
"61","Entelurus_aequoreus",FALSE,TRUE,FALSE
"62","Chelidonichthys_lucerna",FALSE,TRUE,TRUE
"63","Trisopterus_esmarkii",FALSE,FALSE,TRUE
"64","Tinca_tinca",FALSE,FALSE,TRUE
"65","Lepomis_gibbosus",FALSE,FALSE,TRUE
"66","Xiphias_gladius",FALSE,FALSE,TRUE
"67","Eutrigla_gurnardus",FALSE,FALSE,TRUE
"68","Callionymus_lyra",FALSE,FALSE,TRUE
"69","Agonus_cataphractus",FALSE,FALSE,TRUE
"70","Carassius_carassius",FALSE,FALSE,TRUE
"71","Scardinius_erythrophthalmus",FALSE,FALSE,TRUE
"72","Rutilus_rutilus",FALSE,FALSE,TRUE
"73","Phycis_blennoides",FALSE,FALSE,TRUE
"74","Coregonus_lavaretus",FALSE,FALSE,TRUE
"75","Pungitius_pungitius",FALSE,FALSE,TRUE
"76","Hippoglossus_hippoglossus",FALSE,FALSE,TRUE
"77","Myxine_glutinosa",FALSE,FALSE,TRUE
"78","Scyliorhinus_canicula",FALSE,FALSE,TRUE
"79","Hexanchus_griseus",FALSE,FALSE,TRUE
"80","Liparis_liparis",FALSE,FALSE,TRUE
"81","Mullus_surmuletus",FALSE,FALSE,TRUE
"82","Capros_aper",FALSE,FALSE,TRUE
"83","Helicolenus_dactylopterus",FALSE,FALSE,TRUE
"84","Callionymus_maculatus",FALSE,FALSE,TRUE
"85","Lumpenus_lampretaeformis",FALSE,FALSE,TRUE
"86","Merluccius_merluccius",FALSE,FALSE,TRUE
"87","Raja_clavata",FALSE,FALSE,TRUE
"88","Ammodytes_tobianus",FALSE,FALSE,TRUE
"89","Etmopterus_spinax",FALSE,FALSE,TRUE
"90","Chimaera_monstrosa",FALSE,FALSE,TRUE
"91","Argentina_sphyraena",FALSE,FALSE,TRUE
"92","Amblyraja_radiata",FALSE,FALSE,TRUE
"93","Dicentrarchus_labrax",FALSE,FALSE,TRUE
"94","Mola_mola",FALSE,FALSE,TRUE
"95","Squalus_acanthias",FALSE,FALSE,TRUE
"96","Leuciscus_idus",FALSE,FALSE,TRUE
"97","Acantholabrus_palloni",FALSE,FALSE,TRUE
"98","Anarhichas_lupus",FALSE,FALSE,TRUE
"99","Lophius_piscatorius",FALSE,FALSE,TRUE
"100","Labrus_mixtus",FALSE,FALSE,TRUE
"101","Mustelus_asterias",FALSE,FALSE,TRUE
"102","Molva_molva",FALSE,FALSE,TRUE
"103","Centrolabrus_exoletus",FALSE,FALSE,TRUE
"104","Argentina_silus",FALSE,FALSE,TRUE
"105","Esox_lucius",FALSE,FALSE,TRUE
"106","Lycodes_gracilis",FALSE,FALSE,TRUE
"107","Micromesistius_poutassou",FALSE,FALSE,TRUE
"108","Gadus_chalcogrammus",FALSE,FALSE,TRUE
"109","Trisopterus_luscus",FALSE,FALSE,TRUE
"110","Lophius_budegassa",FALSE,FALSE,TRUE
"111","Histrio_histrio",FALSE,FALSE,TRUE
"112","Cryptopsaras_couesii",FALSE,FALSE,TRUE
"113","Cyprinus_carpio",FALSE,FALSE,TRUE
"114","Carassius_auratus",FALSE,FALSE,TRUE
"115","Sander_lucioperca",FALSE,FALSE,TRUE
"116","Echiodon_drummondii",FALSE,FALSE,TRUE
"117","Sebastes_viviparus",FALSE,FALSE,TRUE
"118","Balistes_capriscus",FALSE,FALSE,TRUE
"119","Microstomus_kitt",FALSE,FALSE,TRUE
